link,rad,autor,Comisión y estado 
POR MEDIO DEL CUAL SE CREA EL CERTIFICADO DE RESPONSABILIDAD ÉTNICA EMPRESARIAL Y SE DICTAN OTRAS DISPOSICIONES,F Radicado: 09 Agosto 2023 | N° Senado: 300/24 | N° Camara: 123/23,"H.R. ASTRID SÁNCHEZ MONTES DE OCA, GERSEL LUIS PÉREZ ALTAMIRANDA, KAREN ASTRITH MANRIQUE OLARTE, JAMES HERMENEGILDO MOSQUERA TORRES, JORGE ALEJANDRO OCAMPO GIRALDO, ORLANDO CASTILLO ADVINCULA, MIGUEL ABRAHAM POLO POLO, ANA PAOLA GARCÍA SOTO, HERACLITO LANDINEZ SUÁREZ, MARELEN CASTILLO TORRES, JORGE MÉNDEZ HERNÁNDEZ, LUIS ALBERTO ALBÁN URBANO, CARLOS FELIPE QUINTERO OVALLE, JORGE ELIÉCER TAMAYO MARULANDA",SEPTIMA
"POR MEDIO DEL CUAL SE ESTABLECEN MECANISMOS PARA EL SALVAMENTO, CAPITALIZACIÓN Y REACTIVACIÓN EMPRESARIAL DE LAS SALINAS MARÍTIMAS DE MANAURE - SAMA LTDA ¨MENSAJE DE URGENCIA¨",,"EL MINISTRO DE COMERCIO, INDUSTRIA Y TURISMO - GERMAN UMAÑA MENDOZA, H.S.ALFREDO RAFAEL DELUQUE ZULETA, JULIO ELIAS VIDAL, MARTHA ISABEL PERALTA EPIEYU, JOHN JAIRO ROLDÁN AVENDAÑO, AIDA YOLANDA AVELLA ESQUIVEL, CLARA EUGENIA LÓPEZ OBREGÓN, CLAUDIA MARÍA PÉREZ GIRALDO, GLORIA INÉS FLÓREZ SCHNEIDER, SANDRA YANETH JAIMES CRUZ, CATALINA DEL SOCORRO PÉREZ PÉREZ, ISABEL CRISTINA ZULETA LÓPEZ, JAEL QUIROGA CARRILLO, OMAR DE JESÚS RESTREPO CORREA, PABLO CATATUMBO TORRES VICTORIA, SANDRA RAMÍREZ LOBO, ROBERT DAZA GUEVARA, JAIRO ALBERTO CASTELLANOS SERRANO, IMELDA DAZA COTES, GUSTAVO ADOLFO MORENO HURTADO, GUIDO ECHEVERRI PIEDRAHITA, INTI RAÚL ASPRILLA REYES, YULY ESMERALDA HERNÁNDEZ SILVA, PEDRO HERNANDO FLÓREZ PORRAS, JUAN FELIPE LEMOS URIBE, LAURA ESTHER FORTICH SANCHEZ, JULIÁN GALLO CUBILLOS, IVÁN CEPEDA CASTRO H.R.EDUARD GIOVANNY SARMIENTO HIDALGO, JOSÉ ELIÉCER SALAZAR LÓPEZ, OLGA LUCIA VELÁSQUEZ NIETO, JAIRO REINALDO CALA SUÁREZ, LUIS DAVID SÚAREZ CHADID, HUGO DANILO LOZANO PIMIENTO, GABRIEL ERNESTO PARRADO DURÁN, ALFREDO MONDRAGÓN GARZÓN, DAVID RICARDO RACERO MAYORCA, KAREN ASTRITH MANRIQUE OLARTE, JULIÁN DAVID LÓPEZ TENORIO, ERMES EVELIO PETE VIVAS, ANDRÉS GUILLERMO MONTES CELEDÓN, ETNA TAMARA ARGOTE CALDERÓN, JORGE HERNÁN BASTIDAS ROSERO, ANÍBAL GUSTAVO HOYOS FRANCO, JENNIFER DALLEY PEDRAZA SANDOVAL, GLORIA LILIANA RODRÍGUEZ VALENCIA, LEYLA MARLENY RINCÓN TRUJILLO, JORGE ELIÉCER TAMAYO MARULANDA, MARÍA FERNANDA CARRASCAL ROJAS, LUIS ALBERTO ALBÁN URBANO, CARMEN FELISA RAMÍREZ BOSCÁN, HAIVER RINCÓN GUTIÉRREZ, GLORIA ELENA ARIZABALETA CORRAL, HERACLITO LANDINEZ SUÁREZ, JORGE ANDRÉS CANCIMANCE LÓPEZ, PEDRO JOSÉ SÚAREZ VACCA, CARLOS ALBERTO CARREÑO MARIN, GABRIEL BECERRA YAÑEZ, MARY ANNE ANDREA PERDOMO, NORMAN DAVID BAÑOL ÁLVAREZ, SUSANA GÓMEZ CASTAÑO, DAVID ALEJANDRO TORO RAMÍREZ, PEDRO BARACUTAO GARCÍA OSPINA, GERMÁN JOSÉ GÓMEZ LÓPEZ, WILMER YAIR CASTELLANOS HERNÁNDEZ, ALIRIO URIBE MUÑOZ, MODESTO ENRIQUE AGUILERA VIDES, GERSEL LUIS PÉREZ ALTAMIRANDA, SANTIAGO OSORIO MARÍN, DOLCEY OSCAR TORRES ROMERO, PIEDAD CORREAL RUBIANO, JAMES HERMENEGILDO MOSQUERA TORRES, JAVIER ALEXANDER SÁNCHEZ REYES, FERNANDO DAVID NIÑO MENDOZA, HERNANDO GONZÁLEZ, ALEXANDER HARLEY BERMÚDEZ LASSO, DORINA HERNÁNDEZ PALOMINO, CÉSAR CRISTIAN GÓMEZ CASTRO, ERICK ADRIÁN VELASCO BURBANO, MAURICIO PARODI DÍAZ, JULIO CÉSAR TRIANA QUINTERO, MILENE JARAVA DÍAZ, WADITH ALBERTO MANZUR IMBETT, CIRO ANTONIO RODRÍGUEZ PINZÓN, MÓNICA KARINA BOCANEGRA PANTOJA, WILDER IBERSON ESCOBAR ORTIZ, OLGA BEATRIZ GONZÁLEZ CORREA, INGRID JOHANA AGUIRRE JUVINAO, ORLANDO CASTILLO ADVINCULA, ANDRÉS DAVID CALLE AGUAS, MARÍA DEL MAR PIZARRO GARCÍA, MARTHA LISBETH ALFONSO JURADO, JOHN EDGAR PÉREZ ROJAS, HERNANDO GUIDA PONCE",PENDIENTE RENDIR PONENCIA PARA SEGUNDO DEBATE EN SENADO
POR MEDIO DE LA CUAL SE RECONOCE AL PAISAJE CULTURAL CAFETERO DE COLOMBIA COMO ZONA RESTRINGIDA DE MINERÍA Y SE DICTAN OTRAS DISPOSICIONES.,F Radicado: 13 Marzo 2024 | N° Senado: 259/24 | N° Camara: 399/24,"Honorables Senadores Inti Raúl Asprilla Reyes y Edwing Fabián Díaz Plata.
Honorables Representantes. Alejandro García Ríos, Piedad Correal Rubiano, Carolina Giraldo Botero, John Edgar Pérez Rojas, Carlos Edward Osorio Aguiar, Juan Sebastián Gómez Gonzáles, Delcy Esperanza Isaza Buenaventura, John Fredy Núñez Ramos, Julia Miranda Londoño, Santiago Osorio Marín, Gabriel Becerra Yañez, Omar De Jesús Restrepo Correa, Hernando González, Jorge Eliécer Tamayo Marulanda y Aníbal Gustavo Hoyos Franco.","POR MEDIO DEL CUAL SE CREA EL CERTIFICADO DE RESPONSABILIDAD ÉTNICA EMPRESARIAL Y SE DICTAN OTRAS DISPOSICIONES

F Radicado: 09 Agosto 2023 | N° Senado: 300/24 | N° Camara: 123/23
Autor: H.R. ASTRID SÁNCHEZ MONTES DE OCA, GERSEL LUIS PÉREZ ALTAMIRANDA, KAREN ASTRITH MANRIQUE OLARTE, JAMES HERMENEGILDO MOSQUERA TORRES, JORGE ALEJANDRO OCAMPO GIRALDO, ORLANDO CASTILLO ADVINCULA, MIGUEL ABRAHAM POLO POLO, ANA PAOLA GARCÍA SOTO, HERACLITO LANDINEZ SUÁREZ, MARELEN CASTILLO TORRES, JORGE MÉNDEZ HERNÁNDEZ, LUIS ALBERTO ALBÁN URBANO, CARLOS FELIPE QUINTERO OVALLE, JORGE ELIÉCER TAMAYO MARULANDA"
"POR MEDIO DEL CUAL SE ADOPTA UNA POLÍTICA DE ESTADO PARA ORDENAR LA DELIMITACIÓN, RECUPERACIÓN, RESTAURACIÓN Y ORDENAMIENTO AMBIENTAL Y AGRARIO DE LOS LAGOS, CIÉNAGAS, PLAYONES Y SABANAS COMUNALES",,"H.S. AÍDA AVELLA ESQUIVEL, JAHEL QUIROGA CARRILLO, CLARA EUGENIA LOPEZ OBREGÓN, GLORIA INES FLOREZ SCHNEIDER, AIDA MARINA QUILCUE VIVAS, OMAR DE JESÚS RESTREPO CORREA, CATALINA DEL SOCORRO PÉREZ, H.R. GABRIEL BECERRA YAÑEZ.",CUARTA
POR MEDIO DE LA CUAL SE ESTABLECE EL DÍA NACIONAL EN CONMEMORACIÓN DE LAS VÍCTIMAS DEL GENOCIDIO CONTRA LA UNIÓN PATRIÓTICA Y SE DICTAN OTRAS DISPOSICIONES,F Radicado: 26 Octubre 2022 | N° Senado: 248/24 | N° Camara: 258/22,"H.S. JAEL QUIROGA CARRILLO, AIDA YOLANDA AVELLA ESQUIVEL, IVÁN CEPEDA CASTRO, SANDRA RAMÍREZ LOBO SILVA, ISABEL CRISTINA ZULETA, JULIO CÉSAR ESTRADA CORDERO, IMELD DAZA COTES, MARÍA JOSÉ PIZARRO, GLORIA INÉS FLÓREZ SCHNEIDER, AIDA MARINA QUILCUÉ, OMAR DE JESÚS RESTREPO, MARTHA ISABEL PERALTA, H.R. GABRIEL BECERRA YÁÑEZ, ANDRÉS CANCIMANCE, ETNA TÁMARA ARGOTE, DAVID ALEJANDRO TORO, GABRIEL ERNESTO PARRADO, MARRY ANNE ANDREA PERDOMO.","PENDIENTE RENDIR PONENCIA PARA SEGUNDO DEBATE EN SENADO
TEXTO DEFINITO DE PRIMER DEBATE GACETA 957/24"
POR MEDIO DE LA CUAL SE REGULAN LAS FÓRMULAS TARIFARIAS EN ENERGÍA Y SE DICTAN OTRAS DISPOSICIONES,,"H.S. ANTONIO JOSÉ CORREA JIMÉNEZ, CLAUDIA MARÍA PÉREZ GIRALDO, JULIO ELÍAS CHAGUI FLOREZ, JULIO ALBERTO ELÍAS VIDAL, NADIA GEORGETTE BLEL SCAFF, KARINA ESPINOSA OLIVER, LAURA FORTICH SÁNCHEZ, JOHN JAIRO ROLDÁN AVENDAÑO, JUAN FELIPE LEMOS URIBE, LILIANA ESTHER BITAR CASTILLA, HUMBERTO DE LA CALLE LOMBANA, FABIO AMÍN SALEME, MARTHA ISABEL PERALTA EPIEYÚ, CARLOS MARIO FARELO DAZA, JUAN CARLOS GARCÉS ROJAS, SANDRA RAMÍREZ LOBO SILVA, OMAR DE JESÚS RESTREPO CORREA, JULIAN GALLO CUBILLOS","POR MEDIO DEL CUAL SE ESTABLECEN MECANISMOS PARA EL SALVAMENTO, CAPITALIZACIÓN Y REACTIVACIÓN EMPRESARIAL DE LAS SALINAS MARÍTIMAS DE MANAURE - SAMA LTDA ¨MENSAJE DE URGENCIA¨

F Radicado: 13 Marzo 2024 | N° Senado: 259/24 | N° Camara: 399/24
Autor: EL MINISTRO DE COMERCIO, INDUSTRIA Y TURISMO - GERMAN UMAÑA MENDOZA, H.S.ALFREDO RAFAEL DELUQUE ZULETA, JULIO ELIAS VIDAL, MARTHA ISABEL PERALTA EPIEYU, JOHN JAIRO ROLDÁN AVENDAÑO, AIDA YOLANDA AVELLA ESQUIVEL, CLARA EUGENIA LÓPEZ OBREGÓN, CLAUDIA MARÍA PÉREZ GIRALDO, GLORIA INÉS FLÓREZ SCHNEIDER, SANDRA YANETH JAIMES CRUZ, CATALINA DEL SOCORRO PÉREZ PÉREZ, ISABEL CRISTINA ZULETA LÓPEZ, JAEL QUIROGA CARRILLO, OMAR DE JESÚS RESTREPO CORREA, PABLO CATATUMBO TORRES VICTORIA, SANDRA RAMÍREZ LOBO, ROBERT DAZA GUEVARA, JAIRO ALBERTO CASTELLANOS SERRANO, IMELDA DAZA COTES, GUSTAVO ADOLFO MORENO HURTADO, GUIDO ECHEVERRI PIEDRAHITA, INTI RAÚL ASPRILLA REYES, YULY ESMERALDA HERNÁNDEZ SILVA, PEDRO HERNANDO FLÓREZ PORRAS, JUAN FELIPE LEMOS URIBE, LAURA ESTHER FORTICH SANCHEZ, JULIÁN GALLO CUBILLOS, IVÁN CEPEDA CASTRO H.R.EDUARD GIOVANNY SARMIENTO HIDALGO, JOSÉ ELIÉCER SALAZAR LÓPEZ, OLGA LUCIA VELÁSQUEZ NIETO, JAIRO REINALDO CALA SUÁREZ, LUIS DAVID SÚAREZ CHADID, HUGO DANILO LOZANO PIMIENTO, GABRIEL ERNESTO PARRADO DURÁN, ALFREDO MONDRAGÓN GARZÓN, DAVID RICARDO RACERO MAYORCA, KAREN ASTRITH MANRIQUE OLARTE, JULIÁN DAVID LÓPEZ TENORIO, ERMES EVELIO PETE VIVAS, ANDRÉS GUILLERMO MONTES CELEDÓN, ETNA TAMARA ARGOTE CALDERÓN, JORGE HERNÁN BASTIDAS ROSERO, ANÍBAL GUSTAVO HOYOS FRANCO, JENNIFER DALLEY PEDRAZA SANDOVAL, GLORIA LILIANA RODRÍGUEZ VALENCIA, LEYLA MARLENY RINCÓN TRUJILLO, JORGE ELIÉCER TAMAYO MARULANDA, MARÍA FERNANDA CARRASCAL ROJAS, LUIS ALBERTO ALBÁN URBANO, CARMEN FELISA RAMÍREZ BOSCÁN, HAIVER RINCÓN GUTIÉRREZ, GLORIA ELENA ARIZABALETA CORRAL, HERACLITO LANDINEZ SUÁREZ, JORGE ANDRÉS CANCIMANCE LÓPEZ, PEDRO JOSÉ SÚAREZ VACCA, CARLOS ALBERTO CARREÑO MARIN, GABRIEL BECERRA YAÑEZ, MARY ANNE ANDREA PERDOMO, NORMAN DAVID BAÑOL ÁLVAREZ, SUSANA GÓMEZ CASTAÑO, DAVID ALEJANDRO TORO RAMÍREZ, PEDRO BARACUTAO GARCÍA OSPINA, GERMÁN JOSÉ GÓMEZ LÓPEZ, WILMER YAIR CASTELLANOS HERNÁNDEZ, ALIRIO URIBE MUÑOZ, MODESTO ENRIQUE AGUILERA VIDES, GERSEL LUIS PÉREZ ALTAMIRANDA, SANTIAGO OSORIO MARÍN, DOLCEY OSCAR TORRES ROMERO, PIEDAD CORREAL RUBIANO, JAMES HERMENEGILDO MOSQUERA TORRES, JAVIER ALEXANDER SÁNCHEZ REYES, FERNANDO DAVID NIÑO MENDOZA, HERNANDO GONZÁLEZ, ALEXANDER HARLEY BERMÚDEZ LASSO, DORINA HERNÁNDEZ PALOMINO, CÉSAR CRISTIAN GÓMEZ CASTRO, ERICK ADRIÁN VELASCO BURBANO, MAURICIO PARODI DÍAZ, JULIO CÉSAR TRIANA QUINTERO, MILENE JARAVA DÍAZ, WADITH ALBERTO MANZUR IMBETT, CIRO ANTONIO RODRÍGUEZ PINZÓN, MÓNICA KARINA BOCANEGRA PANTOJA, WILDER IBERSON ESCOBAR ORTIZ, OLGA BEATRIZ GONZÁLEZ CORREA, INGRID JOHANA AGUIRRE JUVINAO, ORLANDO CASTILLO ADVINCULA, ANDRÉS DAVID CALLE AGUAS, MARÍA DEL MAR PIZARRO GARCÍA, MARTHA LISBETH ALFONSO JURADO, JOHN EDGAR PÉREZ ROJAS, HERNANDO GUIDA PONCE"
POR MEDIO DE LA CUAL SE TRANSFORMA EL SISTEMA DE SALUD EN COLOMBIA Y SE DICTAN OTRAS DISPOSICIONES,F Radicado: 05 Marzo 2024 | N° Senado: 241/24 | N° Camara:,"H.S. ISABEL CRISTINA ZULETA LÓPEZ, MARTHA ISABEL PERALTA EPIEYU, AIDA YOLANDA AVELLA ESQUIVEL, CÉSAR AUGUSTO PACHÓN ACHURY, H.R.ALFREDO MONDRAGÓN GARZÓN, DAVID RICARDO RACERO MAYORCA, AGMETH JOSÉ ESCAF TIJERINO, PEDRO BARACUTAO GARCÍA OSPINA, JUAN CARLOS VARGAS SOLER, JUAN PABLO SALAZAR RIVERA MINISTRA DE SALUD - CAROLINA CORCHO MEJÍA",QUINTA
POR MEDIO DE LA CUAL SE ESTABLECEN MEDIDAS PARA GARANTIZAR EL ACCESO AL AGUA PARA CONSUMO HUMANO Y SANEAMIENTO BÁSICO EN EL DEPARTAMENTO DE LA GUAJIRA,,"H.S. MARTHA ISABEL PERALTA EPIEYÚ, OMAR DE JESÚS RESTREPO CORREA, ESMERALDA HERNÁNDEZ SILVA, BERENICE BEDOYA PÉREZ, JAEL QUIROGA CARRILLO, ALEX XAVIER FLÓREZ HERNÁNDEZ, WILSON NEVER ARIAS CASTILLO, SANDRA YANETH JAIMES CRUZ, DIDIER LOBO CHINCHILLA, CLARA LÓPEZ OBREGÓN, IMELDA DAZA COTES, ISABEL CRISTINA ZULETA LÓPEZ, INTI RAÚL ASPRILLA REYES, MARÍA JOSÉ PIZARRO RODRÍGUEZ, JOSUÉ ALIRIO BARRERAS RODRÍGUEZ, JOSÉ VICENTE CARREÑO CASTRO, JULIO CÉSAR ESTRADA CORDERO, GLORIA INÉS FLÓREZ SCHNEIDER, CARLOS ALBERTO BENAVIDES MORA, ROBERT DAZA GUEVARA, ESTEBAN QUINTERO CARDONA, KARINA ESPINOSA OLIVER, H.R. HERACLITO LANDINEZ SUÁREZ, MARÍA DEL MAR PIZARRO GARCÍA, DAVID ALEJANDRO TORO RAMÍREZ, GABRIEL BECERRA YAÑEZ, PEDRO JOSÉ SUÁREZ VACCA, ANDRÉS CANCIMANCE LÓPEZ y otras firmas ilegibles.","ARCHIVADO
Conforme al artículo 190 de la LEY 5 DE 1992, no se discutió ponencia para segundo debate senado."
